Date,Open,High,Low,Close,Adj Close,Volume
2013-02-15,12945.530273,12999.519531,12893.679688,12964.250000,12964.250000,14128800
2013-02-18,12962.089844,13022.820313,12962.089844,12988.700195,12988.700195,10615800
2013-02-19,12997.240234,13205.230469,12969.570313,13154.379883,13154.379883,19026600
2013-02-20,13147.780273,13269.040039,13145.589844,13178.440430,13178.440430,13709200
2013-02-21,13131.290039,13131.290039,12939.599609,13014.410156,13014.410156,16262400
2013-02-22,13030.809570,13148.889648,13030.070313,13119.799805,13119.799805,12523800
2013-02-25,13138.169922,13255.639648,13072.799805,13141.639648,13141.639648,14810600
2013-02-26,12970.200195,13052.370117,12876.500000,13002.889648,13002.889648,15612000
2013-02-27,13024.240234,13154.639648,12997.580078,13140.969727,13140.969727,13741600
2013-02-28,13164.639648,13305.070313,13164.620117,13301.379883,13301.379883,17188000
2013-03-01,13306.719727,13362.009766,13153.089844,13261.910156,13261.910156,17585600
2013-03-04,13248.969727,13248.969727,13141.150391,13202.259766,13202.259766,15469800
2013-03-05,13250.160156,13349.940430,13250.160156,13314.469727,13314.469727,17580000
2013-03-06,13331.540039,13438.000000,13314.330078,13319.929688,13319.929688,19660600
2013-03-07,13339.259766,13429.070313,13339.179688,13363.480469,13363.480469,14352600
2013-03-08,13395.049805,13423.570313,13342.360352,13352.530273,13352.530273,14791600
2013-03-11,13346.000000,13347.570313,13266.530273,13338.299805,13338.299805,12308600
2013-03-12,13320.070313,13385.780273,13311.230469,13369.839844,13369.839844,13720600
2013-03-13,13357.950195,13400.360352,13344.070313,13400.360352,13400.360352,13304600
2013-03-14,13423.459961,13480.389648,13422.990234,13473.049805,13473.049805,17399600
2013-03-15,13484.360352,13493.269531,13408.809570,13486.389648,13486.389648,23738200
2013-03-18,13388.070313,13528.389648,13309.110352,13514.849609,13514.849609,13031000
2013-03-19,13505.500000,13525.799805,13413.679688,13438.780273,13438.780273,17304400
2013-03-20,13452.480469,13527.769531,13374.950195,13408.790039,13408.790039,18213000
2013-03-21,13418.089844,13438.089844,13327.450195,13357.349609,13357.349609,15942400
2013-03-22,13337.750000,13400.740234,13262.429688,13358.860352,13358.860352,18731000
2013-03-25,13416.730469,13532.320313,13314.629883,13339.629883,13339.629883,13190600
2013-03-26,13364.589844,13434.009766,13337.379883,13391.500000,13391.500000,13074600
2013-03-27,13423.559570,13434.339844,13213.769531,13250.540039,13250.540039,14953600
2013-03-28,13241.019531,13348.969727,13236.849609,13322.259766,13322.259766,11787800
2013-04-02,13333.080078,13540.379883,13327.730469,13522.059570,13522.059570,14038600
2013-04-03,13519.030273,13586.280273,13437.730469,13447.700195,13447.700195,12868000
2013-04-04,13461.709961,13468.059570,13190.280273,13208.759766,13208.759766,16710200
2013-04-05,13207.309570,13210.059570,12877.000000,12922.900391,12922.900391,17446800
2013-04-08,12952.700195,13071.990234,12952.700195,12988.990234,12988.990234,11725800
2013-04-09,13025.400391,13060.080078,12932.129883,12977.410156,12977.410156,12738800
2013-04-10,13022.059570,13287.379883,13022.059570,13268.070313,13268.070313,14529000
2013-04-11,13270.139648,13407.080078,13267.419922,13393.259766,13393.259766,13027200
2013-04-12,13364.219727,13364.219727,13255.040039,13307.889648,13307.889648,10469200
2013-04-15,13317.540039,13331.169922,13151.320313,13188.200195,13188.200195,13237000
2013-04-16,13149.820313,13197.160156,13038.230469,13103.290039,13103.290039,11546400
2013-04-17,13163.889648,13256.799805,12952.629883,12988.150391,12988.150391,17796600
2013-04-18,12985.759766,13076.830078,12912.250000,12970.719727,12970.719727,16251600
2013-04-19,13013.080078,13077.570313,12980.740234,13019.089844,13019.089844,15898000
2013-04-22,13085.700195,13203.959961,13038.889648,13093.230469,13093.230469,13007400
2013-04-23,13105.129883,13355.250000,13085.179688,13345.190430,13345.190430,14555800
2013-04-24,13362.360352,13410.540039,13260.349609,13380.099609,13380.099609,13256000
2013-04-25,13392.370117,13461.780273,13371.349609,13419.660156,13419.660156,13896800
2013-04-26,13418.019531,13424.629883,13295.480469,13349.660156,13349.660156,11243200
2013-04-29,13372.620117,13429.589844,13347.830078,13398.740234,13398.740234,10593000
2013-04-30,13436.709961,13530.570313,13396.049805,13443.709961,13443.709961,17237000
2013-05-02,13449.280273,13532.230469,13405.490234,13508.400391,13508.400391,18758800
2013-05-03,13519.040039,13664.929688,13506.230469,13643.330078,13643.330078,20412400
2013-05-06,13662.639648,13710.040039,13654.059570,13695.509766,13695.509766,10464600
2013-05-07,13715.860352,13849.440430,13713.240234,13788.200195,13788.200195,22240600
2013-05-08,13796.830078,13836.200195,13710.459961,13807.440430,13807.440430,21831800
2013-05-09,13804.879883,13846.919922,13784.209961,13830.360352,13830.360352,9594200
2013-05-10,13844.849609,13942.610352,13834.650391,13893.500000,13893.500000,17219000
2013-05-13,13891.580078,13929.780273,13814.040039,13873.299805,13873.299805,13969000
2013-05-14,13895.000000,13971.669922,13847.669922,13971.059570,13971.059570,16131200
2013-05-15,13980.330078,14059.660156,13980.330078,14055.530273,14055.530273,14511000
2013-05-16,14040.820313,14059.259766,13979.730469,14051.429688,14051.429688,18456400
2013-05-17,14041.719727,14080.490234,13977.259766,14070.629883,14070.629883,16502400
2013-05-20,14163.700195,14163.700195,14163.700195,14163.700195,14163.700195,0
